source,tag,hidden,D_eff,L_cycles,H_cycles,seed,params_M,epochs,eval_interval,wall_s,n_eval_ckpt,n_train_step,exact_pct,token_pct,lm_loss,q_halt_acc,net_energy_Wh,gross_energy_Wh,mean_W,cc_gpu_Wh,gross_agree_pct,idle_W
budget,h128_d9,128,9,3,3,0,,,,,15,30000,5.4688,67.8192,0.7417809367179871,0.958984375,33.7011,34.674,167.35,,,4.7
budget,h128_d9_s0,128,9,3,3,0,,,,,15,30000,5.4688,67.8192,0.7417809367179871,0.958984375,,,,,,4.7
budget,h128_d9_s1,128,9,3,3,1,,,,,15,30000,10.9375,69.0659,0.7177694439888,0.984375,,,,,,4.7
budget,h128_d9_s2,128,9,3,3,2,,,,,15,30000,5.2734,67.4093,0.7468312382698059,0.9765625,,,,,,4.7
budget,h128_d9_s3,128,9,3,3,3,,,,,15,30000,5.8594,67.8217,0.7426215410232544,0.978515625,33.9192,34.8947,167.92,34.5469,99.0,4.7
budget,h128_d9_s4,128,9,3,3,4,,,,,15,30000,3.3203,67.5082,0.7397915720939636,0.998046875,34.4805,35.4586,170.2,35.0614,98.87,4.7
budget,h128_d18,128,18,6,3,0,,,,,15,30000,13.2812,68.7645,0.7235486507415771,0.978515625,59.6031,61.2315,176.61,,,4.7
budget,h128_d18_s0,128,18,6,3,0,,,,,15,30000,13.2812,68.7645,0.7235486507415771,0.978515625,,,,,,4.7
budget,h128_d18_s1,128,18,6,3,1,,,,,15,30000,7.8125,67.9495,0.7433865666389465,0.974609375,,,,,,4.7
budget,h128_d18_s2,128,18,6,3,2,,,,,15,30000,6.4453,67.9977,0.7403355240821838,0.984375,,,,,,4.7
budget,h128_d18_s3,128,18,6,3,3,,,,,15,30000,8.9844,67.947,0.7658117413520813,0.9765625,60.1317,61.7628,177.85,61.0639,98.86,4.7
budget,h128_d18_s4,128,18,6,3,4,,,,,15,30000,10.5469,68.2533,0.742830753326416,0.9765625,59.9421,61.5718,177.44,60.8924,98.89,4.7
budget,h128_d36,128,36,12,3,0,,,,,15,30000,15.2344,69.4589,0.7162399888038635,0.947265625,109.8449,112.8107,178.71,,,4.7
budget,h128_d36_s0,128,36,12,3,0,,,,,15,30000,15.2344,69.4589,0.7162399888038635,0.947265625,,,,,,4.7
budget,h128_d36_s1,128,36,12,3,1,,,,,15,30000,6.0547,66.8716,0.773524820804596,0.994140625,,,,,,4.7
budget,h128_d36_s2,128,36,12,3,2,,,,,15,30000,11.1328,68.844,0.728513240814209,0.986328125,,,,,,4.7
budget,h128_d36_s3,128,36,12,3,3,,,,,15,30000,6.6406,68.3738,0.7443296909332275,0.986328125,109.9257,112.8941,178.68,111.6561,98.9,4.7
budget,h128_d36_s4,128,36,12,3,4,,,,,15,30000,5.0781,66.4979,0.7751449346542358,0.978515625,109.9267,112.8949,178.69,111.6414,98.88,4.7
converge,h128_d36_converge_s0,128,36,12,3,0,,,,,40,80000,10.3516,68.545,0.7266921401023865,0.96875,292.1095,299.9766,179.19,,,4.7
frontier,d09,256,9,3,3,0,,1000,200,395.1,5,7810,5.0781,67.0091,0.7584287524223328,0.974609375,17.1392,17.6337,160.85,,,4.7
frontier,d18,256,18,6,3,0,,1000,200,673.9,5,7810,4.2969,66.9415,0.7836573719978333,0.974609375,30.4999,31.3898,167.64,,,4.7
frontier,d36,256,36,12,3,0,,1000,200,1232.9,5,7810,3.5156,67.6577,0.7364286184310913,0.990234375,56.6398,58.251,170.08,,,4.7
isoflop,h128_d9,128,9,3,3,0,0.694,,,251.7,5,9645,5.4688,67.4407,0.7626667022705078,0.982421875,10.05,64.7044,148.58,,,4.7
isoflop,h128_d18,128,18,6,3,0,0.694,,,255.8,5,5700,2.7344,64.8486,0.8682399988174438,0.9921875,10.3478,53.4336,150.44,,,4.7
isoflop,h128_d36,128,36,12,3,0,0.694,,,276.2,5,3125,0.1953,62.9774,0.8963260650634766,0.998046875,11.263,41.5149,151.63,,,4.7
isoflop,h256_d9,256,9,3,3,0,1.484,,,242.9,5,4800,2.5391,65.6636,0.799934446811676,1.0,10.4146,28.942,159.18,,,4.7
isoflop,h256_d18,256,18,6,3,0,1.484,,,247.3,5,2770,0.0,61.0966,0.8976569771766663,1.0,10.6289,17.6649,159.56,,,4.7
isoflop,h256_d36,256,36,12,3,0,1.484,,,265.0,5,1520,0.0,56.2982,1.1017231941223145,1.0,11.4815,12.2831,160.8,,,4.7
isoflop,h384_d9,384,9,3,3,0,2.666,,,265.3,5,2925,0.5859,62.4928,0.8613651990890503,0.994140625,9.7861,11.3439,137.62,,,4.7
isoflop,h384_d18,384,18,6,3,0,2.666,,,278.1,5,1675,0.0,58.4394,0.9752938747406006,1.0,10.0651,11.6664,135.1,,,4.7
isoflop,h384_d36,384,36,12,3,0,2.666,,,311.5,5,895,0.0,42.4069,1.5465630292892456,1.0,10.4898,12.7066,126.07,,,4.7
maze,h128_d9,128,9,3,3,0,,,,,15,3975,0.0,81.7713,0.8759667277336121,1.0,66.8966,68.9587,157.08,,,4.7
