task,tag,hidden,D_eff,seed,metric,target_pct,target_origin,reached,step_at_target,net_Wh_at_target,final_net_Wh
Sudoku-Extreme,h256_d18_recipe_b192_s0,256,18,0,exact_accuracy,50,"50% exact, the headline target",no,,,506.20
Sudoku-Extreme,h256_d18_recipe_b192_s0,256,18,0,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,506.20
Sudoku-Extreme,h256_d18_recipe_b192_s0,256,18,0,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,506.20
Sudoku-Extreme,h256_d18_recipe_b192_s0,256,18,0,exact_accuracy,36.26,best accuracy of D_eff=36,yes,50775,304.12,506.20
Sudoku-Extreme,h256_d18_recipe_b192_s1,256,18,1,exact_accuracy,50,"50% exact, the headline target",no,,,503.44
Sudoku-Extreme,h256_d18_recipe_b192_s1,256,18,1,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,503.44
Sudoku-Extreme,h256_d18_recipe_b192_s1,256,18,1,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,503.44
Sudoku-Extreme,h256_d18_recipe_b192_s1,256,18,1,exact_accuracy,36.26,best accuracy of D_eff=36,yes,71085,423.02,503.44
Sudoku-Extreme,h256_d18_recipe_b192_s2,256,18,2,exact_accuracy,50,"50% exact, the headline target",no,,,499.39
Sudoku-Extreme,h256_d18_recipe_b192_s2,256,18,2,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,499.39
Sudoku-Extreme,h256_d18_recipe_b192_s2,256,18,2,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,499.39
Sudoku-Extreme,h256_d18_recipe_b192_s2,256,18,2,exact_accuracy,36.26,best accuracy of D_eff=36,yes,54160,319.33,499.39
Sudoku-Extreme,h512_d18_recipe_b192_s0,512,18,0,exact_accuracy,50,"50% exact, the headline target",yes,22000,317.17,360.49
Sudoku-Extreme,h512_d18_recipe_b192_s0,512,18,0,exact_accuracy,49.67,best accuracy of the non-recursive baseline,yes,22000,317.17,360.49
Sudoku-Extreme,h512_d18_recipe_b192_s0,512,18,0,exact_accuracy,50.07,best accuracy of D_eff=18,yes,22000,317.17,360.49
Sudoku-Extreme,h512_d18_recipe_b192_s0,512,18,0,exact_accuracy,36.26,best accuracy of D_eff=36,yes,14000,201.70,360.49
Sudoku-Extreme,h512_d18_recipe_b192_s1,512,18,1,exact_accuracy,50,"50% exact, the headline target",yes,24000,341.34,355.58
Sudoku-Extreme,h512_d18_recipe_b192_s1,512,18,1,exact_accuracy,49.67,best accuracy of the non-recursive baseline,yes,24000,341.34,355.58
Sudoku-Extreme,h512_d18_recipe_b192_s1,512,18,1,exact_accuracy,50.07,best accuracy of D_eff=18,yes,24000,341.34,355.58
Sudoku-Extreme,h512_d18_recipe_b192_s1,512,18,1,exact_accuracy,36.26,best accuracy of D_eff=36,yes,14000,199.20,355.58
Sudoku-Extreme,h512_d18_recipe_b192_s2,512,18,2,exact_accuracy,50,"50% exact, the headline target",no,,,357.83
Sudoku-Extreme,h512_d18_recipe_b192_s2,512,18,2,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,357.83
Sudoku-Extreme,h512_d18_recipe_b192_s2,512,18,2,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,357.83
Sudoku-Extreme,h512_d18_recipe_b192_s2,512,18,2,exact_accuracy,36.26,best accuracy of D_eff=36,yes,14000,199.90,357.83
Sudoku-Extreme,h512_d36_recipe_b96_s0,512,36,0,exact_accuracy,50,"50% exact, the headline target",no,,,340.94
Sudoku-Extreme,h512_d36_recipe_b96_s0,512,36,0,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,340.94
Sudoku-Extreme,h512_d36_recipe_b96_s0,512,36,0,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,340.94
Sudoku-Extreme,h512_d36_recipe_b96_s0,512,36,0,exact_accuracy,36.26,best accuracy of D_eff=36,no,,,340.94
Sudoku-Extreme,h512_d36_recipe_b96_s1,512,36,1,exact_accuracy,50,"50% exact, the headline target",no,,,336.64
Sudoku-Extreme,h512_d36_recipe_b96_s1,512,36,1,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,336.64
Sudoku-Extreme,h512_d36_recipe_b96_s1,512,36,1,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,336.64
Sudoku-Extreme,h512_d36_recipe_b96_s1,512,36,1,exact_accuracy,36.26,best accuracy of D_eff=36,yes,24000,323.20,336.64
Sudoku-Extreme,h512_d36_recipe_b96_s2,512,36,2,exact_accuracy,50,"50% exact, the headline target",no,,,343.52
Sudoku-Extreme,h512_d36_recipe_b96_s2,512,36,2,exact_accuracy,49.67,best accuracy of the non-recursive baseline,no,,,343.52
Sudoku-Extreme,h512_d36_recipe_b96_s2,512,36,2,exact_accuracy,50.07,best accuracy of D_eff=18,no,,,343.52
Sudoku-Extreme,h512_d36_recipe_b96_s2,512,36,2,exact_accuracy,36.26,best accuracy of D_eff=36,no,,,343.52
Sudoku-Extreme,h512_d9_recipe_b192_s0,512,9,0,exact_accuracy,50,"50% exact, the headline target",yes,32000,259.20,404.95
