source,tag,hidden,D_eff,seed,step,exact_pct,token_pct,lm_loss
frontier,d09,256,9,0,1562,0.0,56.8046,1.0525606870651245
frontier,d09,256,9,0,3124,0.5859,62.0467,0.8720574378967285
frontier,d09,256,9,0,4686,2.1484,65.2995,0.7971649169921875
frontier,d09,256,9,0,6248,5.2734,67.3563,0.7851515412330627
frontier,d09,256,9,0,7810,5.0781,67.0091,0.7584287524223328
frontier,d18,256,18,0,1562,0.0,56.7395,1.0605779886245728
frontier,d18,256,18,0,3124,0.3906,62.3336,0.8709685802459717
frontier,d18,256,18,0,4686,1.9531,65.2513,0.7951861619949341
frontier,d18,256,18,0,6248,6.6406,66.428,0.8204277753829956
frontier,d18,256,18,0,7810,4.2969,66.9415,0.7836573719978333
frontier,d36,256,36,0,1562,0.0,56.7708,1.061828374862671
frontier,d36,256,36,0,3124,0.0,62.4421,0.8664149641990662
frontier,d36,256,36,0,4686,2.5391,65.2657,0.8249019980430603
frontier,d36,256,36,0,6248,2.9297,66.3194,0.7682527899742126
frontier,d36,256,36,0,7810,3.5156,67.6577,0.7364286184310913
isoflop,h128_d18,128,18,0,1140,0.0,43.6005,1.5820907354354858
isoflop,h128_d18,128,18,0,2280,0.0,59.8307,0.9591106176376343
isoflop,h128_d18,128,18,0,3420,0.7812,62.9726,0.8738570213317871
isoflop,h128_d18,128,18,0,4560,1.9531,64.2964,0.8440669178962708
isoflop,h128_d18,128,18,0,5700,2.7344,64.8486,0.8682399988174438
isoflop,h128_d36,128,36,0,625,0.0,13.5272,2.2028815746307373
isoflop,h128_d36,128,36,0,1250,0.0,46.6749,1.4984512329101562
isoflop,h128_d36,128,36,0,1875,0.0,58.5745,1.0251996517181396
isoflop,h128_d36,128,36,0,2500,0.0,60.6699,0.9424835443496704
isoflop,h128_d36,128,36,0,3125,0.1953,62.9774,0.8963260650634766
isoflop,h128_d9,128,9,0,1929,0.0,58.601,1.0012683868408203
isoflop,h128_d9,128,9,0,3858,1.5625,63.6357,0.8768700957298279
isoflop,h128_d9,128,9,0,5787,2.5391,65.3646,0.8007979989051819
isoflop,h128_d9,128,9,0,7716,2.7344,66.8041,0.765464723110199
isoflop,h128_d9,128,9,0,9645,5.4688,67.4407,0.7626667022705078
isoflop,h256_d18,256,18,0,554,0.0,17.73,2.1760098934173584
isoflop,h256_d18,256,18,0,1108,0.0,47.5984,1.4367297887802124
isoflop,h256_d18,256,18,0,1662,0.0,57.6172,1.020561695098877
isoflop,h256_d18,256,18,0,2216,0.0,59.4473,0.9285215735435486
isoflop,h256_d18,256,18,0,2770,0.0,61.0966,0.8976569771766663
isoflop,h256_d36,256,36,0,304,0.0,11.1859,2.446702718734741
isoflop,h256_d36,256,36,0,608,0.0,20.1678,2.158134698867798
isoflop,h256_d36,256,36,0,912,0.0,41.8113,1.591032862663269
isoflop,h256_d36,256,36,0,1216,0.0,50.5546,1.3457669019699097
isoflop,h256_d36,256,36,0,1520,0.0,56.2982,1.1017231941223145
isoflop,h256_d9,256,9,0,960,0.0,43.5884,1.5486332178115845
isoflop,h256_d9,256,9,0,1920,0.0,58.4346,0.9682159423828125
isoflop,h256_d9,256,9,0,2880,0.1953,61.1714,0.9134457111358643
isoflop,h256_d9,256,9,0,3840,1.3672,64.1348,0.8275626301765442
isoflop,h256_d9,256,9,0,4800,2.5391,65.6636,0.799934446811676
isoflop,h384_d18,384,18,0,335,0.0,12.3119,2.3350772857666016
isoflop,h384_d18,384,18,0,670,0.0,33.0512,1.9086469411849976
isoflop,h384_d18,384,18,0,1005,0.0,46.2553,1.4596610069274902
isoflop,h384_d18,384,18,0,1340,0.0,55.1698,1.1364226341247559
isoflop,h384_d18,384,18,0,1675,0.0,58.4394,0.9752938747406006
isoflop,h384_d36,384,36,0,179,0.0,10.4335,2.5107359886169434
