family,contrast,n1,n2,mean1,sd1,mean2,sd2,t,df,p,cohen_d,bonf_thr,survives
Sudoku depth,$D_9$ vs $D_{18}$,3,3,62.4349,0.2983256777416261,50.0651,1.6839123225393908,12.528328073086135,2.1254222813277215,0.0049943289082242884,10.229337036415675,0.016666666666666666,True
Sudoku depth,$D_{18}$ vs $D_{36}$,3,3,50.0651,1.6839123225393908,36.26303333333333,0.7893491643964241,12.854420996302483,2.8384566232410418,0.001332130016926394,10.495590793286553,0.016666666666666666,True
Sudoku depth,$D_9$ vs $D_{36}$,3,3,62.4349,0.2983256777416261,36.26303333333333,0.7893491643964241,53.7197380647507,2.5599269759379326,5.616475094086621e-05,43.861982458201965,0.016666666666666666,True
Sudoku width,$h_{512}$ vs $h_{256}$,3,3,50.0651,1.6839123225393908,38.020833333333336,1.1105784994017016,10.341893552648099,3.4630695764175408,0.0010049188286496927,8.444120726055667,0.025,True
Sudoku width,$h_{512}$ vs $h_{768}$,3,3,50.0651,1.6839123225393908,42.96876666666667,0.9765500004266753,6.314228033877704,3.2085705962811897,0.006548799557906963,5.155545600859144,0.025,True
Sudoku baseline,$D_9$ vs non-recursive,3,3,62.4349,0.2983256777416261,49.67446666666667,2.14252557822149,10.217162772235667,2.077522187140953,0.008294552665660508,8.34227847031247,0.025,True
Sudoku baseline,$D_{36}$ vs non-recursive,3,3,36.26303333333333,0.7893491643964241,49.67446666666667,2.14252557822149,-10.173529181736589,2.5331112509775195,0.004046244705147373,-8.306651792856371,0.025,True
Maze depth,$D_{36}$ vs $D_9$,5,5,84.9123,0.5772383259971566,83.17054,0.5327540830439493,4.958151851496814,7.949095500074627,0.0011305614856239848,3.1358105671421725,0.016666666666666666,True
Maze depth,$D_{36}$ vs $D_{18}$,5,5,84.9123,0.5772383259971566,83.58094,0.5068093655409323,3.875542344091908,7.868269458597156,0.004856925842432639,2.451108195151687,0.016666666666666666,True
Maze depth,$D_{18}$ vs $D_9$,5,5,83.58094,0.5068093655409323,83.17054,0.5327540830439493,1.2480188329797344,7.980142449408902,0.24739789319753758,0.7893164150002451,0.016666666666666666,False
ARC depth,$D_9$ vs $D_{36}$,5,5,31.19874,3.283298398409746,25.79588,0.5927290713302326,3.621048047645763,4.260447801376643,0.02004569302950994,2.2901518694933043,0.016666666666666666,False
ARC depth,$D_{18}$ vs $D_{36}$,5,5,30.67626,3.607320497682456,25.79588,0.5927290713302326,2.9851692715731093,4.215832345146043,0.037924918071169524,1.8879868198633512,0.016666666666666666,False
ARC depth,$D_9$ vs $D_{18}$,5,5,31.19874,3.283298398409746,30.67626,3.607320497682456,0.23951449914699502,7.930167653273298,0.8167810573752646,0.1514822699877921,0.016666666666666666,False
