tag,hidden,D_eff,batch,ema,steps_target,wall_s,best_exact_pct,final_exact_pct,final_token_pct,best_token_pct,smi_net_Wh,cc_gpu_Wh,gross_agree_pct
h256_d9_recipe_b48_s0,256,9,48,True,24000,6754.8,0.0,0.0,36.4583,37.0483,292.1843,298.3407,99.11
h256_d18_recipe_b48_s0,256,18,48,True,12000,6453.0,0.0,0.0,29.8299,36.6659,284.9271,290.8792,99.15
h256_d36_recipe_b24_s0,256,36,24,True,12000,6395.2,0.0,0.0,26.1108,28.654,283.0589,289.1052,99.21
h256_d9_recipe_b48_s1,256,9,48,True,24000,6729.5,0.0,0.0,30.3996,38.4806,292.8522,299.5091,99.29
h256_d18_recipe_b48_s1,256,18,48,True,12000,6451.8,0.0,0.0,27.3438,29.777,283.4656,289.8398,99.3
h256_d36_recipe_b24_s1,256,36,24,True,12000,6320.5,0.0,0.0,25.3133,33.3903,279.6132,285.961,99.34
h256_d9_recipe_b48_s2,256,9,48,True,24000,6728.0,0.0,0.0,31.4901,31.4901,290.6103,297.6291,99.41
h256_d18_recipe_b48_s2,256,18,48,True,12000,6451.0,0.0,0.0,36.4095,36.4095,282.2843,288.942,99.39
h256_d36_recipe_b24_s2,256,36,24,True,12000,6318.0,0.0,0.0,26.5055,30.3589,279.1739,285.7853,99.43
h256_d9_recipe_b48_s3,256,9,48,True,24000,6733.0,0.0,0.0,30.1351,39.4531,285.2165,290.8306,98.91
h256_d18_recipe_b48_s3,256,18,48,True,12000,6487.2,0.0,0.0,28.1453,29.8869,277.2502,282.5371,98.88
h256_d36_recipe_b24_s3,256,36,24,True,12000,6392.1,0.0,0.0,25.0651,30.9082,273.4783,278.7269,98.9
h256_d9_recipe_b48_s4,256,9,48,True,24000,6715.8,0.0,0.0,27.5106,34.8592,284.464,290.1145,98.93
h256_d18_recipe_b48_s4,256,18,48,True,12000,6443.8,0.0,0.0,31.6528,33.9762,276.2475,281.5649,98.91
h256_d36_recipe_b24_s4,256,36,24,True,12000,6311.2,0.0,0.0,25.9847,29.6549,272.5651,277.8182,98.93
