D_eff,step,exact_pct,token_pct
9,2000,0.0,58.919
9,4000,1.758,63.725
9,6000,4.883,65.975
9,8000,3.711,66.898
9,10000,5.664,66.602
9,12000,7.227,67.988
9,14000,4.492,67.665
9,16000,10.352,68.895
9,18000,6.641,68.027
9,20000,12.109,68.429
9,22000,8.203,68.948
9,24000,5.078,67.769
9,26000,7.812,68.567
9,28000,12.109,69.121
9,30000,5.469,67.819
18,2000,0.0,58.907
18,4000,1.367,64.451
18,6000,3.125,65.68
18,8000,3.125,67.2
18,10000,7.031,67.954
18,12000,3.32,67.195
18,14000,6.641,66.512
18,16000,9.18,68.01
18,18000,8.984,68.0
18,20000,7.422,67.718
18,22000,14.648,69.57
18,24000,14.258,67.933
18,26000,4.297,68.417
18,28000,9.57,68.808
18,30000,13.281,68.764
36,2000,0.0,58.671
36,4000,2.148,64.434
36,6000,3.516,65.475
36,8000,4.297,66.84
36,10000,5.859,67.742
36,12000,10.352,66.867
36,14000,9.375,67.356
36,16000,14.062,69.061
36,18000,15.039,68.704
36,20000,15.234,69.71
36,22000,12.109,69.138
36,24000,10.938,68.229
36,26000,14.062,68.764
36,28000,11.719,68.015
36,30000,15.234,69.459
