hidden,L_cycles,D_eff,params_M,steps_per_s,ms_per_step,avg_power_W,J_per_step,peak_mem_MiB
128,3,9,0.694,23.05,43.4,81.6,3.538,1125
128,6,18,0.694,13.64,73.3,116.3,8.523,1918
128,12,36,0.694,7.5,133.4,119.0,15.868,3505
256,3,9,1.484,11.44,87.4,112.7,9.848,2030
256,6,18,1.484,6.68,149.7,115.7,17.32,3462
256,12,36,1.484,3.65,274.0,119.0,32.601,6326
384,3,9,2.666,6.98,143.3,107.0,15.331,2948
384,6,18,2.666,4.06,246.4,110.9,27.324,5026
384,12,36,2.666,2.21,452.2,112.5,50.88,9182
512,3,9,5.029,4.62,216.3,109.7,23.739,4081
512,6,18,5.029,2.68,372.9,110.7,41.294,6958
512,12,36,5.029,1.46,687.0,111.9,76.889,12711
768,3,9,9.754,2.84,352.4,109.4,38.553,5968
768,6,18,9.754,1.65,607.9,110.7,67.321,10155
