tag,hidden,D_eff,batch,ema,steps_target,wall_s,best_exact_pct,final_exact_pct,final_token_pct,best_token_pct,smi_net_Wh,cc_gpu_Wh,gross_agree_pct
h512_d18_recipe_b192_s0,512,18,192,True,25000,8427.6,51.5625,49.0234,81.889,82.6871,360.4906,368.8087,99.27
h512_d9_recipe_b192_s0,512,9,192,True,50000,9548.5,62.6953,62.6953,86.2799,86.2799,404.9531,415.1711,99.46
h512_d36_recipe_b96_s0,512,36,96,True,25000,8060.0,35.5469,35.3516,76.806,76.9073,340.9389,350.1486,99.63
h512_d9_recipe_b192_s1,512,9,192,True,50000,9511.1,62.5,62.5,86.1955,86.1955,401.9138,412.5556,99.57
h512_d18_recipe_b192_s1,512,18,192,True,25000,8350.8,50.3906,49.4141,82.4797,82.6461,355.5816,365.1087,99.62
h512_d36_recipe_b96_s1,512,36,96,True,25000,7966.3,37.1094,37.1094,77.2304,77.2304,336.6424,345.904,99.67
h512_d9_recipe_b192_s2,512,9,192,True,50000,9503.6,62.1094,62.1094,86.1762,86.1762,399.9144,411.1718,99.72
h512_d18_recipe_b192_s2,512,18,192,True,25000,8353.8,48.2422,48.2422,82.0264,82.1084,357.83,367.7338,99.73
h512_d36_recipe_b96_s2,512,36,96,True,25000,7979.0,36.1328,36.1328,77.134,77.134,343.5233,353.0803,99.76
h256_d18_recipe_b192_s0,256,18,192,True,84720,10794.3,39.2578,37.5,77.7874,78.2962,506.1976,518.6859,99.69
h768_d18_recipe_b128_s0,768,18,128,True,19334,7409.0,43.9453,42.5781,79.7526,80.1167,315.157,324.1918,99.8
h256_d18_recipe_b192_s1,256,18,192,True,84720,10804.9,37.6953,36.7188,77.8549,78.4577,503.4382,513.548,99.22
h768_d18_recipe_b128_s1,768,18,128,True,19334,7410.0,42.9688,41.0156,79.0774,79.7623,313.7183,322.0828,99.59
h768_d18_recipe_b128_s2,768,18,128,True,19334,7401.7,41.9922,41.7969,79.8346,79.8346,311.296,319.1375,99.43
h256_d18_recipe_b192_s2,256,18,192,True,84720,10797.1,37.1094,35.9375,77.9755,77.9755,499.3914,510.4533,99.41
h512_transformers_baseline_b192_s0,512,8,192,True,100000,10066.3,51.3672,51.3672,82.1711,82.1711,383.5713,395.0787,99.59
h512_transformers_baseline_b192_s1,512,8,192,True,100000,10069.5,50.3906,48.2422,81.4188,82.8487,384.4253,395.8666,99.57
h512_transformers_baseline_b192_s2,512,8,192,True,100000,10070.2,47.2656,46.0938,80.9341,81.2862,384.0758,395.6257,99.6
