tag,hidden,D_eff,L_cycles,params_M,compute_PxD,steps_target,epochs,eval_interval,wall_s,exact_pct,token_pct,lm_loss,q_halt_acc,smi_gross_Wh,smi_net_Wh,mean_W,cc_gpu_Wh,gross_agree_pct,idle_W
h128_d9,128,9,3,0.694,6.2459999999999996,4000,504,42,116.8,1.1719,63.8985,0.8406155109405518,0.98828125,4.8669,4.7154,149.89,4.8294,99.23,4.7
h128_d18,128,18,6,0.694,12.491999999999999,4000,504,42,190.8,1.9531,63.6237,0.8633325099945068,0.986328125,8.7995,8.5513,165.95,8.7068,98.94,4.7
h256_d9,256,9,3,1.484,13.356,4000,504,42,224.3,0.9766,63.9636,0.8263278603553772,0.990234375,10.0199,9.7274,160.4,9.8887,98.68,4.7
h256_d18,256,18,6,1.484,26.712,4000,504,42,378.4,1.9531,64.0215,0.8335409760475159,0.994140625,17.4796,16.986,166.05,17.2943,98.93,4.7
h384_d9,384,9,3,2.666,23.994,4000,504,42,365.5,2.1484,64.2241,0.8272671699523926,0.99609375,15.6673,15.1906,154.12,15.4698,98.73,4.7
h384_d18,384,18,6,2.666,47.988,4000,504,42,624.3,2.3438,65.0415,0.8105441927909851,0.998046875,27.225,26.4101,156.81,26.9232,98.89,4.7
h512_d9,512,9,3,5.029,45.260999999999996,4000,504,42,596.8,5.2734,64.634,1.0125223398208618,0.826171875,24.4899,23.7115,147.69,24.2144,98.87,4.7
h512_d18,512,18,6,5.029,90.52199999999999,4000,504,42,999.7,2.3438,65.0342,0.7983524799346924,0.9765625,42.1357,40.8309,151.65,41.6538,98.85,4.7
h768_d9,768,9,3,9.754,87.786,4000,504,42,971.1,0.3906,64.8076,0.8040591478347778,0.99609375,40.8497,39.5826,151.4,40.403,98.9,4.7
h768_d18,768,18,6,9.754,175.572,4000,504,42,1648.1,2.1484,64.5182,0.8404145836830139,0.98046875,70.6282,68.4771,154.24,69.8533,98.9,4.7
